"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label"
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Aggregate bands): 15+","2024",75.626,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Aggregate bands): 15-24","2024",53.513,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Aggregate bands): 25-54","2024",90.513,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Aggregate bands): 55-64","2024",83.263,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Aggregate bands): 65+","2024",57.585,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Aggregate bands): 15+","2024",65.157,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Aggregate bands): 15-24","2024",49.427,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Aggregate bands): 25-54","2024",77.343,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Aggregate bands): 55-64","2024",68.312,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Aggregate bands): 65+","2024",40.41,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2023",70.321,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15-64","2023",71.566,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15-24","2023",51.602,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 25+","2023",79.983,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Youth, adults): 15+","2023",75.699,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Youth, adults): 15-64","2023",76.576,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Youth, adults): 15-24","2023",53.728,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Youth, adults): 25+","2023",87.382,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Youth, adults): 15+","2023",65.075,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Youth, adults): 15-64","2023",66.616,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Youth, adults): 15-24","2023",49.447,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Youth, adults): 25+","2023",72.909,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Aggregate bands): 15+","2023",70.321,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Aggregate bands): 15-24","2023",51.602,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Aggregate bands): 25-54","2023",83.784,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Aggregate bands): 55-64","2023",75.163,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Aggregate bands): 65+","2023",48.302,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Aggregate bands): 15+","2023",75.699,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Aggregate bands): 15-24","2023",53.728,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Aggregate bands): 25-54","2023",90.498,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Aggregate bands): 55-64","2023",83.109,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Aggregate bands): 65+","2023",58.082,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Aggregate bands): 15+","2023",65.075,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Aggregate bands): 15-24","2023",49.447,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Aggregate bands): 25-54","2023",77.172,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Aggregate bands): 55-64","2023",68.072,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Aggregate bands): 65+","2023",40.702,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2022",69.88,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15-64","2022",71.098,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15-24","2022",51.356,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 25+","2022",79.46,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Youth, adults): 15+","2022",75.797,
